Denver CPU log

0xe000 SEI  r.ac=0, r.x=0, r.y=0, r.sp=fd, r.sr=24
0xe001 CLD  r.ac=0, r.x=0, r.y=0, r.sp=fd, r.sr=24
0xe002 LDX      #0xff r.ac=0, r.x=0, r.y=0, r.sp=fd, r.sr=24
0xe004 TXS  r.ac=0, r.x=ff, r.y=0, r.sp=fd, r.sr=a4
0xe005 LDA      #0x10 r.ac=0, r.x=ff, r.y=0, r.sp=ff, r.sr=a4
0xe007 STA       0x2000 r.ac=10, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00a STA       0xff r.ac=10, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=10, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00c LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe00f BPL       0xe00c r.ac=b0, r.x=ff, r.y=0, r.sp=ff, r.sr=a4
0xe011 LDA       0x2002 r.ac=b0, r.x=ff, r.y=0, r.sp=ff, r.sr=a4
0xe014 BPL       0xe011 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe011 LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe014 BPL       0xe011 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe011 LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe014 BPL       0xe011 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe011 LDA       0x2002 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
0xe014 BPL       0xe011 r.ac=30, r.x=ff, r.y=0, r.sp=ff, r.sr=24
